Name,Location,System,Planet,Reason,Crew Value,Aneutronic Fusion,Astrodynamics,Ballistic Weapon Systems,Ballistics,Botany,Chemistry,Concealment,Demolitions,EM Weapon Systems,Energy Weapon Dissipation,Energy Weapon Systems,Gastronomy,Geology,Incapacitation,Lasers,Leadership,Marksmanship,Medicine,Missile Weapon Systems,Outpost Engineering,Outpost Management,Pain Tolerance,Particle Beam Weapon Systems,Particle Beams,Payloads,Piloting,Pistol Certification,Rifle Certification,Robotics,Scavenging,Sharpshooting,Shield Systems,Shotgun Certification,Sniper Certification,Starship Engineering,Stealth,Theft,Weight Lifting,Wellness,Xenosociology
Lin,Vectera,,Narion,,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyle Brewer,Aggie's,Cheyenne,Akila,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
Marika Boros,The Viewport,Alpha Centauri,Jemison,,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mathis Castillo,The Key,Kryx,Suvorov,,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mickey Caviar,Trade Tower: Astral Lounge,Volii,Volii Alpha,,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Moara Otero,Broken Spear,Sol,Mars,EM Weapon Systems,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omari Hassan,The Hitching Post,Cheyenne,Akila,Shield Systems,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
Rafael Aguerro,The Viewport,Alpha Centauri,Jemison,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Rosie Tannehill,The Hitching Post,Cheyenne,Akila,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Sahima Ka'dic,House Ka'dic,Kavnyk,Va'ruun'kai,"Aneutronic Fusion, EM Weapon Systems",5,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Simeon Bankowski,The Viewport,Alpha Centauri,Jemison,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Sophia Grace,Madame Sauvage's Place,Volii,Volii Alpha,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Tane Salavea,Herald's Rest,Kavnyk,Va'ruun'kai,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
